strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,side
A0,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,631.6849400086039,18975.0,0.1036891773106176,0.1,0.095,-0.0086891773106176,10981773.551658884,-1004448.185004376,-52.93534571828068,SELL
A0,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,663.2206705005849,17765.0,0.1019235135219115,0.1,0.095,-0.0069235135219115,10981773.551658884,-800341.6597840078,-45.05159919977528,SELL
A0,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,121.7790797690916,124335.0,0.130983686025493,0.1,0.095,-0.035983686025493,10981773.551658884,-4159628.3314311206,-33.455007290233006,SELL
A0,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,600.7619026569715,16910.0,0.0878814295326192,0.1,0.095,0.0071185704673807,10981773.551658884,822889.7777294945,48.66290820399139,BUY
A0,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,708.0088284816172,16605.0,0.1017018081328337,0.1,0.095,-0.0067018081328336,10981773.551658884,-774713.0452783704,-46.65540772528578,SELL
A0,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,895.760698124234,12330.0,0.0955446120621677,0.1,0.095,-0.0005446120621676,10981773.551658884,-62955.85621292144,-5.105908857495656,SELL
A0,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1001.861242791834,10225.0,0.0886180142159197,0.1,0.095,0.0063819857840803,10981773.551658884,737742.3441123813,72.15084049998839,BUY
A0,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,427.0974120013209,21135.0,0.0780872831895185,0.1,0.095,0.0169127168104814,10981773.551658884,1955069.749010967,92.5038916021276,BUY
A0,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,440.9975599103661,22610.0,0.0862557131007662,0.1,0.095,0.0087442868992338,10981773.551658884,1010818.7220855056,44.706710397412905,BUY
A0,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1974.360100376092,4805.0,0.0820674386135959,0.1,0.095,0.0129325613864041,10981773.551658884,1494973.2693517637,311.1286720815325,BUY
A1,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,526.4041166738365,18975.0,0.0906781763287695,0.0688888888888889,0.0654444444444444,-0.025233731884325,7208934.335164224,-2779583.778721824,-146.48662865464155,SELL
A1,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,478.99270647264456,17765.0,0.0772495268530697,0.1322222222222222,0.1256111111111111,0.0483615842580413,13836502.99813778,5327197.5676512495,299.8703950268083,BUY
A1,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,18.943412408525354,124335.0,0.0213822463378137,0.1933333333333333,0.1836666666666666,0.1622844203288529,20231525.392235074,17876196.210421074,143.77444975607088,BUY
