strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,target_qty_at_close_floor,executable_qty_change_at_close,side
A4,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,176.0,18975.0,0.02942700367210013,0.04994533039833307,0.047448063878416415,0.018021060206316285,5384766.858835639,2045166.8588356394,107.78217964878205,283,107,BUY
A4,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,181.0,17765.0,0.02833318372335293,0.0810358195353896,0.07698402855862012,0.04865084483526719,8736732.582057664,5521267.582057664,310.79468517071007,491,310,BUY
A4,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,164.0,124335.0,0.17967548995615445,0.19131202402460945,0.18174642282337897,0.002070932867224512,20625965.199318547,235025.1993185468,1.8902577658627644,165,1,BUY
A4,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,316.0,16910.0,0.04708496818244322,0.07980234583416013,0.07581222854245212,0.028727260360008902,8603747.811416375,3260187.8114163745,192.796440651471,508,192,BUY
A4,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,383.0,16605.0,0.056038853952123095,0.11007442515497909,0.10457070389723012,0.04853184994510703,11867478.137649836,5507763.137649836,331.6930525534379,714,331,BUY
A4,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1727.0,12330.0,0.18763204208988193,0.16605875067544074,0.1577558131416687,-0.029876228948213235,17903328.501889486,-3390581.498110514,-274.9863339911204,1452,-275,SELL
A4,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1857.0,10225.0,0.16731189244226694,0.11424385450474966,0.10853166177951218,-0.05878023066275476,12316997.738458214,-6670827.261541786,-652.4036441605658,1204,-653,SELL
A4,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,259.0,21135.0,0.04823403645824278,0.04318540359541401,0.041026133415643304,-0.007207903042599474,4655957.388036179,-818007.6119638206,-38.70393243263878,220,-39,SELL
A4,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,116.0,22610.0,0.02311054262517587,0.06828475575251156,0.06487051796488598,0.04175997533971011,7361999.346230824,4739239.346230824,209.60810907699351,325,209,BUY
A4,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,4307.0,4805.0,0.1823559149717355,0.09605729052441277,0.09125442599819213,-0.09110148897354338,10356245.727882255,-10338889.272117745,-2151.69391719412,2155,-2152,SELL
