strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,target_qty_at_close_floor,executable_qty_change_at_close,side
A5,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,593.0,18975.0,0.09799751430701718,0.11011873070264075,0.10461279416750871,0.006615279860491527,12011748.211530898,759573.2115308978,40.0302087763319,633,40,BUY
A5,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,688.0,17765.0,0.10644670733124417,0.09568005994199287,0.09089605694489322,-0.01555065038635095,10436778.389599083,-1785541.610400917,-100.50895639746226,587,-101,SELL
A5,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,89.0,124335.0,0.09637446660590557,0.11028022005169652,0.10476620904911169,0.008391742443206118,12029363.465423897,963548.4654238969,7.749615678802404,96,7,BUY
A5,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,687.0,16910.0,0.10117633108994935,0.09427807557869447,0.08956417179975974,-0.011612159290189605,10283849.972598722,-1333320.0274012778,-78.84802054413234,608,-79,SELL
A5,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,578.0,16605.0,0.0835882629882059,0.09568005994199287,0.09089605694489322,0.00730779395668732,10436778.389599083,839088.389599083,50.532272785250406,628,50,BUY
A5,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,865.0,12330.0,0.0928876051932872,0.09821395450078321,0.09330325677574405,0.00041565158245684963,10713175.540570129,47725.54057012871,3.8706845555659943,868,3,BUY
A5,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1056.0,10225.0,0.09403852681649981,0.10049162982892106,0.095467048337475,0.0014285215209751956,10961624.304687165,164024.30468716472,16.041496790920757,1072,16,BUY
A5,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,542.0,21135.0,0.09976543965627215,0.08936143852918732,0.08489336660272795,-0.014872073053544196,9747543.334215468,-1707626.6657845322,-80.79615168131214,461,-81,SELL
A5,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,430.0,22610.0,0.08467351719530786,0.09821395450078321,0.09330325677574405,0.008629739580436196,10713175.540570129,990875.5405701287,43.82465902565806,473,43,BUY
A5,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2185.0,4805.0,0.09143730460073723,0.10768187642330777,0.10229778260214238,0.010860478001405147,11745936.211657953,1247011.2116579525,259.52366527740946,2444,259,BUY
