strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,target_qty_at_close_floor,executable_qty_change_at_close,side
A1,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,250.0,18975.0,0.040323377884631084,0.11555555555555555,0.10977777777777777,0.06945439989314668,12914551.326113379,8170801.326113379,430.608765539572,680,430,BUY
A1,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,585.0,17765.0,0.08833975499351265,0.09888888888888889,0.09394444444444444,0.005604689450931788,11051875.654077796,659350.6540777963,37.11515080651822,622,37,BUY
A1,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,159.0,124335.0,0.16804501567249777,0.14666666666666667,0.13933333333333334,-0.028711682339164435,16391545.913913136,-3377719.0860868637,-27.166277283844963,131,-28,SELL
A1,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,962.0,16910.0,0.138278223740291,0.09,0.08549999999999999,-0.05277822374029101,10058448.628992151,-6208971.3710078485,-367.17749089342686,594,-368,SELL
A1,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,567.0,16605.0,0.08003078031136288,0.10111111111111111,0.09605555555555555,0.01602477524419267,11300232.410349207,1885197.410349207,113.53191269793479,680,113,BUY
A1,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1532.0,12330.0,0.16056724446996826,0.12777777777777777,0.12138888888888888,-0.03917835558107938,14280513.48560614,-4609046.5143938605,-373.8075031949603,1158,-374,SELL
A1,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,503.0,10225.0,0.04371861692791304,0.08555555555555555,0.08127777777777777,0.03755916084986473,9561735.116449328,4418560.116449328,432.13301872365065,935,432,BUY
A1,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,502.0,21135.0,0.09018640631968851,0.05555555555555556,0.05277777777777778,-0.03740862854191073,6208918.906785279,-4400851.093214721,-208.2257437054517,293,-209,SELL
A1,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,274.0,22610.0,0.052660652704757505,0.11888888888888889,0.11294444444444444,0.06028379173968694,13287086.460520497,7091946.460520497,313.66415128352486,587,313,BUY
A1,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2116.0,4805.0,0.08642595116450917,0.06,0.056999999999999995,-0.029425951164509176,6705632.419328101,-3461747.580671899,-720.4469470701142,1395,-721,SELL
