strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,target_qty_at_close_floor,executable_qty_change_at_close,side
A5,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,592.0,18975.0,0.09784471217185119,0.11872009130716185,0.11278408674180375,0.014939374569952563,12948335.940350492,1715135.9403504916,90.3892458682736,682,90,BUY
A5,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,752.0,17765.0,0.11636353901142757,0.09556310072454771,0.09078494568832032,-0.025578593323107246,10422693.564828394,-2936586.435171606,-165.3017976454605,586,-166,SELL
A5,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,88.0,124335.0,0.09530373903554341,0.10794910859369604,0.10255165316401123,0.007247914128467814,11773586.990563843,832106.9905638434,6.692459810703691,94,6,BUY
A5,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,623.0,16910.0,0.09176256041026602,0.09294325445180661,0.08829609172921628,-0.0034664686810497447,10136957.180379704,-397972.81962029636,-23.534761657025214,599,-24,SELL
A5,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,601.0,16605.0,0.086925504648165,0.09556310072454771,0.09078494568832032,0.0038594410401553286,10422693.564828394,443088.564828394,26.684044855669615,627,26,BUY
A5,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,864.0,12330.0,0.09279203255814829,0.09682340785864879,0.09198223746571635,-0.0008097950924319391,10560150.33377696,-92969.66622303985,-7.5401189150883905,856,-8,SELL
A5,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1021.0,10225.0,0.09093329485616558,0.10182710296481552,0.09673574781657474,0.005802452960409155,11105883.78516141,666158.7851614095,65.15000343876866,1086,65,BUY
A5,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,541.0,21135.0,0.09959404831551762,0.0880962288253863,0.08369141738411698,-0.015902630931400638,9608311.056279292,-1825723.9437207077,-86.38391027777183,454,-87,SELL
A5,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,430.0,22610.0,0.08468429700783292,0.09682340785864879,0.09198223746571635,0.007297940457883428,10560150.33377696,837850.3337769601,37.05662688089165,467,37,BUY
A5,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2212.0,4805.0,0.09257897824951641,0.10569119669074079,0.10040663685620374,0.007827658606687327,11527325.371984571,898665.3719845712,187.02713256702836,2399,187,BUY
