strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,target_qty_at_close_floor,executable_qty_change_at_close,side
A0,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,566.0,18975.0,0.0936858911337411,0.1,0.095,0.0013141088662588,10890495.224553002,150645.22455300204,7.939142268932914,573,7,BUY
A0,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,613.0,17765.0,0.0949952002795596,0.1,0.095,4.799720440387678e-06,10890495.224553002,550.2245530020446,0.030972392513484,613,0,HOLD
A0,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,92.0,124335.0,0.0997831482952239,0.1,0.095,-0.0047831482952239,10890495.224553002,-548324.775446998,-4.410059721293264,87,-5,SELL
A0,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,642.0,16910.0,0.0947010102602869,0.1,0.095,0.000298989739713,10890495.224553002,34275.224553002045,2.026920434831581,644,2,BUY
A0,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,665.0,16605.0,0.0963244419441042,0.1,0.095,-0.0013244419441042,10890495.224553002,-151829.77544699796,-9.14361791309834,655,-10,SELL
A0,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,871.0,12330.0,0.0936822273885048,0.1,0.095,0.0013177726114951,10890495.224553002,151065.22455300204,12.251843029440556,883,12,BUY
A0,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1056.0,10225.0,0.0941896561037335,0.1,0.095,0.0008103438962664,10890495.224553002,92895.22455300204,9.08510753574592,1065,9,BUY
A0,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,508.0,21135.0,0.0936573662601155,0.1,0.095,0.0013426337398844,10890495.224553002,153915.22455300204,7.282480461462127,515,7,BUY
A0,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,474.0,22610.0,0.0934877871948921,0.1,0.095,0.0015122128051078,10890495.224553002,173355.22455300204,7.667192594117737,481,7,BUY
A0,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2246.0,4805.0,0.0941410678633377,0.1,0.095,0.0008589321366622,10890495.224553002,98465.22455300204,20.492242362747564,2266,20,BUY
A1,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,250.0,18975.0,0.040323377884631,0.1155555555555555,0.1097777777777777,0.0694543998931466,12914551.32611338,8170801.326113379,430.608765539572,680,430,BUY
A1,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,585.0,17765.0,0.0883397549935126,0.0988888888888888,0.0939444444444444,0.0056046894509317,11051875.654077796,659350.6540777963,37.11515080651822,622,37,BUY
A1,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,159.0,124335.0,0.1680450156724977,0.1466666666666666,0.1393333333333333,-0.0287116823391644,16391545.913913136,-3377719.086086864,-27.166277283844963,131,-28,SELL
A1,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,962.0,16910.0,0.138278223740291,0.09,0.0854999999999999,-0.052778223740291,10058448.628992151,-6208971.3710078485,-367.17749089342686,594,-368,SELL
A1,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,567.0,16605.0,0.0800307803113628,0.1011111111111111,0.0960555555555555,0.0160247752441926,11300232.410349209,1885197.410349207,113.5319126979348,680,113,BUY
A1,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1532.0,12330.0,0.1605672444699682,0.1277777777777777,0.1213888888888888,-0.0391783555810793,14280513.48560614,-4609046.5143938605,-373.8075031949603,1158,-374,SELL
A1,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,503.0,10225.0,0.043718616927913,0.0855555555555555,0.0812777777777777,0.0375591608498647,9561735.116449328,4418560.116449328,432.13301872365065,935,432,BUY
A1,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,502.0,21135.0,0.0901864063196885,0.0555555555555555,0.0527777777777777,-0.0374086285419107,6208918.906785279,-4400851.093214721,-208.2257437054517,293,-209,SELL
A1,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,274.0,22610.0,0.0526606527047575,0.1188888888888888,0.1129444444444444,0.0602837917396869,13287086.460520497,7091946.460520497,313.66415128352486,587,313,BUY
