strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,target_qty_at_close_floor,executable_qty_change_at_close,side
A0,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,566.0,18975.0,0.0936858911337411,0.1,0.095,0.0013141088662588,10890495.224553002,150645.22455300204,7.939142268932914,573,7,BUY
A0,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,613.0,17765.0,0.0949952002795596,0.1,0.095,4.799720440387678e-06,10890495.224553002,550.2245530020446,0.030972392513484,613,0,HOLD
A0,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,92.0,124335.0,0.0997831482952239,0.1,0.095,-0.0047831482952239,10890495.224553002,-548324.775446998,-4.410059721293264,87,-5,SELL
A0,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,642.0,16910.0,0.0947010102602869,0.1,0.095,0.000298989739713,10890495.224553002,34275.224553002045,2.026920434831581,644,2,BUY
A0,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,665.0,16605.0,0.0963244419441042,0.1,0.095,-0.0013244419441042,10890495.224553002,-151829.77544699796,-9.14361791309834,655,-10,SELL
A0,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,871.0,12330.0,0.0936822273885048,0.1,0.095,0.0013177726114951,10890495.224553002,151065.22455300204,12.251843029440556,883,12,BUY
A0,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1056.0,10225.0,0.0941896561037335,0.1,0.095,0.0008103438962664,10890495.224553002,92895.22455300204,9.08510753574592,1065,9,BUY
A0,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,508.0,21135.0,0.0936573662601155,0.1,0.095,0.0013426337398844,10890495.224553002,153915.22455300204,7.282480461462127,515,7,BUY
A0,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,474.0,22610.0,0.0934877871948921,0.1,0.095,0.0015122128051078,10890495.224553002,173355.22455300204,7.667192594117737,481,7,BUY
A0,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2246.0,4805.0,0.0941410678633377,0.1,0.095,0.0008589321366622,10890495.224553002,98465.22455300204,20.492242362747564,2266,20,BUY
A1,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,480.0,18975.0,0.0766191388667947,0.1222222222222222,0.1161111111111111,0.0394919722443163,13802556.588877523,4694556.588877525,247.4074618644282,727,247,BUY
A1,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,936.0,17765.0,0.1398798974355092,0.1322222222222221,0.125611111111111,-0.0142687863243981,14931856.673422046,-1696183.326577954,-95.47893760641452,840,-96,SELL
A1,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,161.0,124335.0,0.1683966778207587,0.1999999999999999,0.1899999999999999,0.0216033221792412,22586001.69089049,2568066.6908904947,20.654415015003774,181,20,BUY
A1,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,869.0,16910.0,0.1236168374646889,0.0922222222222222,0.0876111111111111,-0.0360057263535778,10414656.33524395,-4280133.66475605,-253.1125762717948,615,-254,SELL
A1,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,519.0,16605.0,0.0724970746221281,0.0977777777777777,0.0928888888888888,0.0203918142667607,11042045.27110202,2424050.2711020205,145.98315393568325,664,145,BUY
A1,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1408.0,12330.0,0.1460427412139253,0.1488888888888889,0.1414444444444444,-0.0045982967694808,16814023.480996262,-546616.5190037377,-44.33223998408254,1363,-45,SELL
A1,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,508.0,10225.0,0.0436959588291383,0.0533333333333333,0.0506666666666666,0.0069707078375283,6022933.784237464,828633.784237464,81.03997889852948,589,81,BUY
A1,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,466.0,21135.0,0.0828518887765221,0.0422222222222222,0.0401111111111111,-0.042740777665411,4768155.912521328,-5080754.087478672,-240.39527265098997,225,-241,SELL
A1,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,277.0,22610.0,0.0526859209649285,0.1111111111111111,0.1055555555555555,0.0528696345906269,12547778.717161387,6284808.717161387,277.9658875347805,554,277,BUY
